TimeStamp,IntSolIrr
2016-04-13 12:50:01,457
2016-04-13 12:55:01,449
2016-04-13 13:00:01,536
2016-04-13 13:05:01,497
2016-04-13 13:10:01,430
2016-04-13 13:15:01,560
2016-04-13 13:20:01,618
2016-04-13 13:25:01,1086
2016-04-13 13:30:01,1135
2016-04-13 13:35:01,809
2016-04-13 13:40:01,759
2016-04-13 13:45:01,329
2016-04-13 13:50:01,308
2016-04-13 13:55:01,440
2016-04-13 14:00:01,377
2016-04-13 14:05:01,465
2016-04-13 14:10:01,527
2016-04-13 14:15:01,571
2016-04-13 14:20:01,534
2016-04-13 14:25:01,493
2016-04-13 14:30:01,495
2016-04-13 14:35:01,538
2016-04-13 14:40:01,571
2016-04-13 14:45:01,556
2016-04-13 14:50:01,596
2016-04-13 14:55:01,485
2016-04-13 15:00:01,475
2016-04-13 15:05:01,378
2016-04-13 15:10:01,303
2016-04-13 15:15:01,350
2016-04-13 15:20:01,411
2016-04-13 15:25:01,390
2016-04-13 15:30:01,422
2016-04-13 15:35:01,372
2016-04-13 15:40:01,308
2016-04-13 15:45:01,252
2016-04-13 15:50:01,190
2016-04-13 15:55:01,195
2016-04-13 16:00:01,161
2016-04-13 16:05:01,185
2016-04-13 16:10:01,190
2016-04-13 16:15:01,192
2016-04-13 16:20:01,202
2016-04-13 16:25:01,196
2016-04-13 16:30:01,194
2016-04-13 16:35:01,190
2016-04-13 16:40:01,172
2016-04-13 16:45:01,145
2016-04-13 16:50:01,145
2016-04-13 16:55:01,168
2016-04-13 17:00:01,217
2016-04-13 17:05:01,263
2016-04-13 17:10:01,302
2016-04-13 17:15:01,296
2016-04-13 17:20:01,288
2016-04-13 17:25:01,281
2016-04-13 17:30:01,302
2016-04-13 17:35:01,303
2016-04-13 17:40:01,306
2016-04-13 17:45:01,373
2016-04-13 17:50:01,260
2016-04-13 17:55:01,188
2016-04-13 18:00:01,173
2016-04-13 18:05:01,140
2016-04-13 18:10:01,121
2016-04-13 18:15:01,110
2016-04-13 18:20:01,103
2016-04-13 18:25:01,98
2016-04-13 18:30:01,89
2016-04-13 18:35:01,84
2016-04-13 18:40:01,86
2016-04-13 18:45:02,125
2016-04-13 18:50:01,143
2016-04-13 18:55:01,212
2016-04-13 19:00:01,127
2016-04-13 19:05:01,191
2016-04-13 19:10:01,177
2016-04-13 19:15:01,103
2016-04-13 19:20:01,115
2016-04-13 19:25:01,106
2016-04-13 19:30:01,83
2016-04-13 19:35:01,68
2016-04-13 19:40:01,35
2016-04-13 19:45:01,34
2016-04-13 19:50:01,30
2016-04-13 19:55:01,29
2016-04-13 20:00:01,25
2016-04-13 20:05:01,20
2016-04-13 20:10:01,18
2016-04-14 07:55:01,12
2016-04-14 08:00:01,24
2016-04-14 08:05:01,26
2016-04-14 08:10:01,19
2016-04-14 08:15:01,20
2016-04-14 08:20:01,20
2016-04-14 08:25:01,18
2016-04-14 08:30:01,12
2016-04-14 08:35:01,14
2016-04-14 08:40:01,22
2016-04-14 08:45:01,26
2016-04-14 08:50:01,35
2016-04-14 08:55:01,55
